surah_number,ayah_number,transliteration_converted
2,109,Wadda kaṯirun min ʼahli al-kitabi law yaruddunakum min baɛdi ʼimanikum kuffaran ḥasadan min ɛindi ʼanfusihim min baɛdi ma tabayyana lahum al-ḥaqqu faɛfu wa aṣfaḥu ḥatta yaʼtiya Allahu biʼamrihi ʼinna Allaha ɛala kulli cayʼin qadirun.
2,110,Wa ʼaqimu aṣ-ṣalata wa ʼatu az-zakata wa ma tuqaddimu liʼnfusikum min xayrin tajiduhu ɛinda Allahi ʼinna Allaha bima taɛmaluna baṣirun.
2,111,Wa qalu lan yadxula al-jannata ʼilla man kana hudan ʼaw naṣara tilka ʼamaniyuhum qul hatu burhanakum ʼin kuntum ṣadiqin.
2,112,Bala man ʼaslama wajhahu Lillahi wa huwa muḥsinun falahu ʼajruhu ɛinda rabbihi wa la xawfun ɛalayhim wa la hum yaḥzanun.
2,113,Wa qalat al-yahudu laysat an-naṣara ɛala cayʼin wa qalat an-naṣara laysat al-yahudu ɛala cayʼin wa hum yatluna al-kitaba kaḏalika qala al-laḏina la yaɛlamuna miṯla qawlihim fa-Allahu yaḥkumu baynahum yawma al-qiyamati fima kanu fihi yaxtalifun.
2,114,Wa man ʼaḏ̣lamu mimman manaɛa masajida Allahi ʼan yuḏkara fiha asmuhu wa saɛa fi xarabiha ʼulaʼika ma kana lahum ʼan yadxuluha ʼila xaʼifina lahum fi ad-dunya xizyun wa lahum fi al-ʼaxirati ɛaḏabun ɛaḏ̣imun.
2,115,Wa Lillahi al-macriqu wa al-maɣribu faʼaynama tuwallu faṯamma wajhu Allahi ʼinna Allaha wasiɛun ɛalimun.
2,116,Wa qalu attaxaḏa Allahu waladan subḥanahu bal lahu ma fi as-samawati wa al-ʼarḍi kullun lahu qanitun.
2,117,Badiɛu as-samawati wa al-ʼarḍi wa ʼiḏa qaḍa ʼamran faʼinnama yaqulu lahu kun fayakun.
2,118,Wa qala al-laḏina la yaɛlamuna lawla yukallimuna Allahu ʼaw taʼtina ʼayatun kaḏalika qala al-laḏina min qablihim miṯla qawlihim tacabahat qulubuhum qad bayyanna al-ʼayati liqawmin yuqinun.
2,119,ʼinna ʼarsalnaka bil-ḥaqqi baciran wa naḏiran wa la tusʼalu ɛan ʼaṣḥabi al-jaḥim.
2,120,Wa lan tarḍa ɛanka al-yahudu wa la an-naṣara ḥatta tattabiɛa millatahum qul ʼinna huda Allahi huwa al-huda wa laʼin attabaɛta ʼahwaʼahum baɛda al-laḏi jaʼaka mina al-ɛilmi ma laka mina Allahi min wa liyin wa la naṣirin.
2,121,Al-laḏina ʼataynahum al-kitaba yatlunahu ḥaqqa tilawatihi ʼulaʼika yuʼminuna bihi wa man yakfur bihi faʼulaʼika hum al-xasirun.
2,122,Ya bani ʼisraʼila aḏkuru niɛmati allati ʼanɛamtu ɛalaykum wa ʼanni faḍḍaltukum ɛala al-ɛalamin.
2,123,Wa attaqu yawman la tajzi nafsun ɛan nafsin cayʼan wa la yuqbalu minha ɛadlun wa la tanfaɛuha cafaɛatun wa la hum yunṣarun.
2,124,Wa ʼiḏ abtala ʼibrahima rabbuhu bikalimatin faʼatammahunna qala ʼinni jaɛiluka lilnnasi ʼimaman qala wa min ḏurriyati qala la yanalu ɛahdi aḏ̣-ḏ̣alimin.
